"ttl","ttl href"
"ЗАКОН ЗА ПРЕБРОЯВАНЕ НА ЗЕМЕДЕЛСКИТЕ СТОПАНСТВА В РЕПУБЛИКА БЪЛГАРИЯ ПРЕЗ 2003 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2135463718/zakon-za-prebroyavane-na-zemedelskite-stopanstva-v-republika-balgariya-prez-2003-g"
"ЗАКОН ЗА ДЪРЖАВНИТЕ ТАКСИ","https://www.ciela.net/svobodna-zona-normativi/view/2122108929/zakon-za-darzhavnite-taksi"
"ЗАКОН ЗА ОМБУДСМАНА","https://www.ciela.net/svobodna-zona-normativi/view/2135467520/zakon-za-ombudsmana"
"ЗАКОН ЗА ПРОФЕСИОНАЛНОТО ОБРАЗОВАНИЕ И ОБУЧЕНИЕ","https://www.ciela.net/svobodna-zona-normativi/view/2134673921/zakon-za-profesionalnoto-obrazovanie-i-obuchenie"
"ЗАКОН ЗА ДАНЪЦИТЕ ВЪРХУ ДОХОДИТЕ НА ФИЗИЧЕСКИТЕ ЛИЦА","https://www.ciela.net/svobodna-zona-normativi/view/2135538631/zakon-za-danatsite-varhu-dohodite-na-fizicheskite-litsa"
"ЗАКОН ЗА ОБЩИНСКИЯ ДЪЛГ","https://www.ciela.net/svobodna-zona-normativi/view/2135501941/zakon-za-obshtinskiya-dalg"
"ЗАКОН ЗА ПУБЛИЧНОСТ НА ИМУЩЕСТВОТО НА ЛИЦА, ЗАЕМАЩИ ВИСШИ ДЪРЖАВНИ И ДРУГИ ДЛЪЖНОСТИ (ЗАГЛ. ИЗМ. - ДВ, БР. 30 ОТ 2013 Г., В СИЛА ОТ 26.03.2013 Г., ИЗМ. - ДВ, БР. 71 ОТ 2013 Г., В СИЛА ОТ 13.08.2013 Г.) ОТ 2000 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2134920704/zakon-za-publichnost-na-imushtestvoto-na-litsa-zaemashti-visshi-darzhavni-i-drugi-dlazhnosti-(zagl-izm---dv-br-30-ot-2013-g-v-sila-ot-26032013-g-izm---dv-br-71-ot-2013-g-v-sila-ot-13082013-g)-ot-2000-g"
"ЗАКОН ЗА ПОДПОМАГАНЕ И ФИНАНСОВА КОМПЕНСАЦИЯ НА ПОСТРАДАЛИ ОТ ПРЕСТЪПЛЕНИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135540550/zakon-za-podpomagane-i-finansova-kompensatsiya-na-postradali-ot-prestapleniya"
"ЗАКОН ЗА БЕЗМИТНАТА ТЪРГОВИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135540546/zakon-za-bezmitnata-targoviya"
"ЗАКОН ЗА ДАНЪК ВЪРХУ ДОБАВЕНАТА СТОЙНОСТ","https://www.ciela.net/svobodna-zona-normativi/view/2135533201/zakon-za-danak-varhu-dobavenata-stoynost"
"ЗАКОН ЗА ИНСПЕКТИРАНЕ НА ТРУДА","https://www.ciela.net/svobodna-zona-normativi/view/2135607843/zakon-za-inspektirane-na-truda"
"ЗАКОН ЗА НАЦИОНАЛНАТА СИСТЕМА ЗА СПЕШНИ ПОВИКВАНИЯ С ЕДИНЕН ЕВРОПЕЙСКИ НОМЕР 112","https://www.ciela.net/svobodna-zona-normativi/view/2135607842/zakon-za-natsionalnata-sistema-za-speshni-povikvaniya-s-edinen-evropeyski-nomer-112"
"ЗАКОН ЗА ВЪТРЕШНИЯ ОДИТ В ПУБЛИЧНИЯ СЕКТОР","https://www.ciela.net/svobodna-zona-normativi/view/2135519287/zakon-za-vatreshniya-odit-v-publichniya-sektor"
"ЗАКОН ЗА АМНИСТИЯ ОТ 2009 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2135627422/zakon-za-amnistiya-ot-2009-g"
"ЗАКОН ЗА ЧУЖДЕНЦИТЕ В РЕПУБЛИКА БЪЛГАРИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2134455296/zakon-za-chuzhdentsite-v-republika-balgariya"
"ЗАКОН ЗА БЕЗОПАСНО ИЗПОЛЗВАНЕ НА ЯДРЕНАТА ЕНЕРГИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135455545/zakon-za-bezopasno-izpolzvane-na-yadrenata-energiya"
"ЗАКОН ЗА ЗДРАВНОТО ОСИГУРЯВАНЕ","https://www.ciela.net/svobodna-zona-normativi/view/2134412800/zakon-za-zdravnoto-osiguryavane"
"ЗАКОН ЗА ТЕХНИЧЕСКИТЕ ИЗИСКВАНИЯ КЪМ ПРОДУКТИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/2134683136/zakon-za-tehnicheskite-iziskvaniya-kam-produktite"
"ЗАКОН ЗА ПРЕДОСТАВЯНЕ НА ПОМОЩ ЗА ОЗДРАВЯВАНЕ НА ""ХОЛДИНГ БЪЛГАРСКИ ДЪРЖАВНИ ЖЕЛЕЗНИЦИ"" - ЕАД","https://www.ciela.net/svobodna-zona-normativi/view/2135727801/zakon-za-predostavyane-na-pomosht-za-ozdravyavane-na-"
"ЗАКОН ЗА НАЦИОНАЛНАТА АГЕНЦИЯ ЗА ПРИХОДИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135461320/zakon-za-natsionalnata-agentsiya-za-prihodite"
"ЗАКОН ЗА ЧАСТНИТЕ СЪДЕБНИ ИЗПЪЛНИТЕЛИ","https://www.ciela.net/svobodna-zona-normativi/view/2135503796/zakon-za-chastnite-sadebni-izpalniteli"
"ЗАКОН ЗА ЗАЩИТА НА ЖИВОТНИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135579104/zakon-za-zashtita-na-zhivotnite"
"ЗАКОН ЗА ВОЕННИТЕ ПАМЕТНИЦИ","https://www.ciela.net/svobodna-zona-normativi/view/2135579103/zakon-za-voennite-pametnitsi"
"ЗАКОН ЗА ПРИЗНАВАНЕ НА ПРОФЕСИОНАЛНИ КВАЛИФИКАЦИИ","https://www.ciela.net/svobodna-zona-normativi/view/2135579101/zakon-za-priznavane-na-profesionalni-kvalifikatsii"
"ЗАКОН ЗА НАСЛЕДСТВОТО","https://www.ciela.net/svobodna-zona-normativi/view/2121542657/zakon-za-nasledstvoto"
"ЗАКОН ЗА МЕРКИТЕ СРЕЩУ ИЗПИРАНЕТО НА ПАРИ ОТ 1998 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2134420482/zakon-za-merkite-sreshtu-izpiraneto-na-pari-ot-1998-g"
"ЗАКОН ЗА БЪЛГАРСКИЯ ЧЕРВЕН КРЪСТ","https://www.ciela.net/svobodna-zona-normativi/view/2133634561/zakon-za-balgarskiya-cherven-krast"
"ЗАКОН ЗА ПРИЕМАНЕ НА ДЕКЛАРАЦИЯ ПО СМИСЪЛА НА ЧЛ. ХІ, РАЗДЕЛ 43 ОТ КОНВЕНЦИЯТА НА ООН ЗА ПРИВИЛЕГИИТЕ И ИМУНИТЕТИТЕ НА СПЕЦИАЛИЗИРАНИТЕ ОРГАНИЗАЦИИ ЗА РАЗШИРЯВАНЕ ПРИЛАГАНЕТО НА КОНВЕНЦИЯТА ПО ОТНОШЕНИЕ НА СВЕТОВНАТА ОРГАНИЗАЦИЯ ПО ТУРИЗЪМ","https://www.ciela.net/svobodna-zona-normativi/view/2135685282/zakon-za-priemane-na-deklaratsiya-po-smisala-na-chl-h%D0%86-razdel-43-ot-konventsiyata-na-oon-za-privilegiite-i-imunitetite-na-spetsializiranite-organizatsii-za-razshiryavane-prilaganeto-na-konventsiyata-po-otnoshenie-na-svetovnata-organizatsiya-po-turizam"
"ЗАКОН ЗА ПРИЗНАВАНЕ, ИЗПЪЛНЕНИЕ, ПОСТАНОВЯВАНЕ И ИЗПРАЩАНЕ НА АКТОВЕ ЗА ОБЕЗПЕЧАВАНЕ НА ИМУЩЕСТВО (ЗАГЛ. ИЗМ. - ДВ, БР. 16 ОТ 2018 Г., ИЗМ. - ДВ, БР. 56 ОТ 2022 Г.)","https://www.ciela.net/svobodna-zona-normativi/view/2135532724/zakon-za-priznavane-izpalnenie-postanovyavane-i-izprashtane-na-aktove-za-obezpechavane-na-imushtestvo-(zagl-izm---dv-br-16-ot-2018-g-izm---dv-br-56-ot-2022-g)"
"ЗАКОН ЗА КРЕДИТНИТЕ ИНСТИТУЦИИ","https://www.ciela.net/svobodna-zona-normativi/view/2135532723/zakon-za-kreditnite-institutsii"
"ЗАКОН ЗА ДОПЪЛНИТЕЛНИЯ НАДЗОР ВЪРХУ ФИНАНСОВИТЕ КОНГЛОМЕРАТИ","https://www.ciela.net/svobodna-zona-normativi/view/2135532718/zakon-za-dopalnitelniya-nadzor-varhu-finansovite-konglomerati"
"ЗАКОН ЗА КАДАСТЪРА И ИМОТНИЯ РЕГИСТЪР","https://www.ciela.net/svobodna-zona-normativi/view/2134918656/zakon-za-kadastara-i-imotniya-registar"
"ЗАКОН ЗА ВОДИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/2134673412/zakon-za-vodite"
"ЗАКОН ЗА СТЕПЕНТА НА ОБРАЗОВАНИЕ, ОБЩООБРАЗОВАТЕЛНИЯ МИНИМУМ И УЧЕБНИЯ ПЛАН","https://www.ciela.net/svobodna-zona-normativi/view/2134673411/zakon-za-stepenta-na-obrazovanie-obshtoobrazovatelniya-minimum-i-uchebniya-plan"
"ЗАКОН ЗА ГРАЖДАНСКАТА РЕГИСТРАЦИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2134673409/zakon-za-grazhdanskata-registratsiya"
"ЗАКОН ЗА ДЪРЖАВНИЯ СЛУЖИТЕЛ","https://www.ciela.net/svobodna-zona-normativi/view/2134673408/zakon-za-darzhavniya-sluzhitel"
"ЗАКОН ЗА ПОЛИТИЧЕСКА И ГРАЖДАНСКА РЕАБИЛИТАЦИЯ НА РЕПРЕСИРАНИ ЛИЦА","https://www.ciela.net/svobodna-zona-normativi/view/2132567042/zakon-za-politicheska-i-grazhdanska-reabilitatsiya-na-represirani-litsa"
"ЗАКОН ЗА ИПОТЕЧНИТЕ ОБЛИГАЦИИ","https://www.ciela.net/svobodna-zona-normativi/view/2134943744/zakon-za-ipotechnite-obligatsii"
"ЗАКОН ЗА СЪСЛОВНАТА ОРГАНИЗАЦИЯ НА МАГИСТЪР-ФАРМАЦЕВТИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135534628/zakon-za-saslovnata-organizatsiya-na-magistar-farmatsevtite"
"ЗАКОН ЗА СЕМЕЙНИ ПОМОЩИ ЗА ДЕЦА","https://www.ciela.net/svobodna-zona-normativi/view/2135441920/zakon-za-semeyni-pomoshti-za-detsa"
"ЗАКОН ЗА ДЪРЖАВНИТЕ ПОМОЩИ ОТ 2006 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2135536537/zakon-za-darzhavnite-pomoshti-ot-2006-g"
"ЗАКОН ЗА ОПАЗВАНЕ НА ЗЕМЕДЕЛСКИТЕ ЗЕМИ","https://www.ciela.net/svobodna-zona-normativi/view/2133870081/zakon-za-opazvane-na-zemedelskite-zemi"
"ЗАКОН ЗА АВТОМОБИЛНИТЕ ПРЕВОЗИ","https://www.ciela.net/svobodna-zona-normativi/view/2134681088/zakon-za-avtomobilnite-prevozi"
"ЗАКОН ЗА ЗАКРИЛА НА НОВИТЕ СОРТОВЕ РАСТЕНИЯ И ПОРОДИ ЖИВОТНИ","https://www.ciela.net/svobodna-zona-normativi/view/2133895169/zakon-za-zakrila-na-novite-sortove-rasteniya-i-porodi-zhivotni"
"ЗАКОН ЗА ПРИВАТИЗАЦИОННИТЕ ФОНДОВЕ","https://www.ciela.net/svobodna-zona-normativi/view/2133852674/zakon-za-privatizatsionnite-fondove"
"ЗАКОН ЗА ЗАЩИТА НА ЛИЧНИТЕ ДАННИ","https://www.ciela.net/svobodna-zona-normativi/view/2135426048/zakon-za-zashtita-na-lichnite-danni"
"ЗАКОН ЗА УСТРОЙСТВО НА ТЕРИТОРИЯТА","https://www.ciela.net/svobodna-zona-normativi/view/2135163904/zakon-za-ustroystvo-na-teritoriyata"
"ЗАКОН ЗА СДЕЛКИТЕ С КОМПЕНСАТОРНИ ИНСТРУМЕНТИ","https://www.ciela.net/svobodna-zona-normativi/view/2135449600/zakon-za-sdelkite-s-kompensatorni-instrumenti"
"ЗАКОН ЗА ПРЯКО УЧАСТИЕ НА ГРАЖДАНИТЕ В ДЪРЖАВНАТА ВЛАСТ И МЕСТНОТО САМОУПРАВЛЕНИЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135636485/zakon-za-pryako-uchastie-na-grazhdanite-v-darzhavnata-vlast-i-mestnoto-samoupravlenie"
"ЗАКОН ЗА АМНИСТИЯ ОТ 1981 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2129948160/zakon-za-amnistiya-ot-1981-g"
"ЗАКОН ЗА АДМИНИСТРАЦИЯТА","https://www.ciela.net/svobodna-zona-normativi/view/2134443520/zakon-za-administratsiyata"
"ЗАКОН ЗА ДЪРЖАВНИЯ ПЕЧАТ И НАЦИОНАЛНОТО ЗНАМЕ НА РЕПУБЛИКА БЪЛГАРИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2134401024/zakon-za-darzhavniya-pechat-i-natsionalnoto-zname-na-republika-balgariya"
"ЗАКОН ЗА АМНИСТИЯ ОТ 1989 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2132068352/zakon-za-amnistiya-ot-1989-g"
"ЗАКОН ЗА ВЪЗСТАНОВЯВАНЕ НА НАДВНЕСЕН АКЦИЗ ЗА УПОТРЕБЯВАНИ АВТОМОБИЛИ","https://www.ciela.net/svobodna-zona-normativi/view/2135708286/zakon-za-vazstanovyavane-na-nadvnesen-aktsiz-za-upotrebyavani-avtomobili"
"ЗАКОН ЗА НАЦИОНАЛНИЯ ДАРИТЕЛСКИ ФОНД ""13 ВЕКА БЪЛГАРИЯ""","https://www.ciela.net/svobodna-zona-normativi/view/2135169536/zakon-za-natsionalniya-daritelski-fond-"
"ЗАКОН ЗА ПРИВАТИЗАЦИЯ И СЛЕДПРИВАТИЗАЦИОНЕН КОНТРОЛ","https://www.ciela.net/svobodna-zona-normativi/view/2135439873/zakon-za-privatizatsiya-i-sledprivatizatsionen-kontrol"
"ЗАКОН ЗА ДОСТЪП И РАЗКРИВАНЕ НА ДОКУМЕНТИТЕ И ЗА ОБЯВЯВАНЕ НА ПРИНАДЛЕЖНОСТ НА БЪЛГАРСКИ ГРАЖДАНИ КЪМ ДЪРЖАВНА СИГУРНОСТ И РАЗУЗНАВАТЕЛНИТЕ СЛУЖБИ НА БЪЛГАРСКАТА НАРОДНА АРМИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135540283/zakon-za-dostap-i-razkrivane-na-dokumentite-i-za-obyavyavane-na-prinadlezhnost-na-balgarski-grazhdani-kam-darzhavna-sigurnost-i-razuznavatelnite-sluzhbi-na-balgarskata-narodna-armiya"
"ЗАКОН ЗА ЗАЩИТА ПРИ БЕДСТВИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135540282/zakon-za-zashtita-pri-bedstviya"
"ЗАКОН ЗА БЪЛГАРСКАТА НАРОДНА БАНКА  ОТ 1997 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2134138370/zakon-za-balgarskata-narodna-banka--ot-1997-g"
"ЗАКОН ЗА АДМИНИСТРАТИВНО-ТЕРИТОРИАЛНОТО УСТРОЙСТВО НА РЕПУБЛИКА БЪЛГАРИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2133622784/zakon-za-administrativno-teritorialnoto-ustroystvo-na-republika-balgariya"
"ЗАКОН ЗА СПЕЦИАЛНИТЕ РАЗУЗНАВАТЕЛНИ СРЕДСТВА","https://www.ciela.net/svobodna-zona-normativi/view/2134163459/zakon-za-spetsialnite-razuznavatelni-sredstva"
"ЗАКОН ЗА ИНФОРМАЦИЯ ОТНОСНО НЕОБСЛУЖВАНИ КРЕДИТИ","https://www.ciela.net/svobodna-zona-normativi/view/2134163457/zakon-za-informatsiya-otnosno-neobsluzhvani-krediti"
"ЗАКОН ЗА НАЦИОНАЛНИЯ АРХИВЕН ФОНД","https://www.ciela.net/svobodna-zona-normativi/view/2135557636/zakon-za-natsionalniya-arhiven-fond"
"ЗАКОН ЗА ИКОНОМИЧЕСКИ И СОЦИАЛЕН СЪВЕТ","https://www.ciela.net/svobodna-zona-normativi/view/2135184392/zakon-za-ikonomicheski-i-sotsialen-savet"
"ЗАКОН ЗА УСТРОЙСТВОТО НА ЧЕРНОМОРСКОТО КРАЙБРЕЖИЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135555697/zakon-za-ustroystvoto-na-chernomorskoto-kraybrezhie"
"ЗАКОН ЗА ЧИСТОТАТА НА АТМОСФЕРНИЯ ВЪЗДУХ","https://www.ciela.net/svobodna-zona-normativi/view/2133875712/zakon-za-chistotata-na-atmosferniya-vazduh"
"ЗАКОН ЗА ИЗПЪЛНЕНИЕ НА РЕГЛАМЕНТ НА СЪВЕТА (ЕО) № 1236/2005 ОТНОСНО ТЪРГОВИЯТА С НЯКОИ СТОКИ, КОИТО БИХА МОГЛИ ДА БЪДАТ ИЗПОЛЗВАНИ С ЦЕЛ ПРИЛАГАНЕ НА СМЪРТНО НАКАЗАНИЕ, ИЗТЕЗАНИЯ ИЛИ ДРУГИ ФОРМИ НА ЖЕСТОКО, НЕЧОВЕШКО ИЛИ УНИЗИТЕЛНО ОТНАСЯНЕ ИЛИ НАКАЗ","https://www.ciela.net/svobodna-zona-normativi/view/2135581335/zakon-za-izpalnenie-na-reglament-na-saveta-(eo)-%E2%84%96-1236/2005-otnosno-targoviyata-s-nyakoi-stoki-koito-biha-mogli-da-badat-izpolzvani-s-tsel-prilagane-na-smartno-nakazanie-iztezaniya-ili-drugi-formi-na-zhestoko-nechoveshko-ili-unizitelno-otnasyane-ili-nakaz"
"ЗАКОН ЗА БЪЛГАРИТЕ, ЖИВЕЕЩИ ИЗВЪН РЕПУБЛИКА БЪЛГАРИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2134916612/zakon-za-balgarite-zhiveeshti-izvan-republika-balgariya"
"ЗАКОН ЗА ВЪЗСТАНОВЯВАНЕ НА СОБСТВЕНОСТТА ВЪРХУ ГОРИТЕ И ЗЕМИТЕ ОТ ГОРСКИЯ ФОНД","https://www.ciela.net/svobodna-zona-normativi/view/2134171136/zakon-za-vazstanovyavane-na-sobstvenostta-varhu-gorite-i-zemite-ot-gorskiya-fond"
"ЗАКОН ЗА ЗАНАЯТИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135184905/zakon-za-zanayatite"
"ЗАКОН ЗА КРЪВТА, КРЪВОДАРЯВАНЕТО И КРЪВОПРЕЛИВАНЕТО","https://www.ciela.net/svobodna-zona-normativi/view/2135474551/zakon-za-kravta-kravodaryavaneto-i-kravoprelivaneto"
"ЗАКОН ЗА ЕЛЕКТРОННАТА ТЪРГОВИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135530547/zakon-za-elektronnata-targoviya"
